# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-010-time_quadratic.txt
# order     : 3
# steps     : 10
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99580753  :    0.01650 :   15
# 0.97020745  :    0.05076 :   49
# 0.88986635  :    0.10377 :  102
# 0.72390139  :    0.17554 :  174
# 0.48175356  :    0.26606 :  265
# 0.23678841  :    0.37534 :  374
# 0.07594710  :    0.50337 :  502
# 0.01374107  :    0.65016 :  649
# 0.00118584  :    0.81570 :  814
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 15366727209755817310
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000999; loss:34785.870235 = 34783.620949 + 2.249287
# loss_var    : 198166.786456 => 34783.620949
# model.lp    : 0.1
# model.out_ch: 10
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999954:   0: 0.999954; 0.000046*1801.594814= 0.083226;  0.083226/0.999954=  0.083230
0.999797:   0: 0.999843; 0.000056*1520.562610= 0.084653;  0.084653/0.999797=  0.084670
0.999775:   1: 0.999978; 0.000001*1485.621774= 0.000844;  0.000844/0.999775=  0.000844
0.913287:  89: 0.913493; 0.078469* 253.261813=19.873154; 19.873154/0.913287= 21.760021
0.699117: 183: 0.765495; 0.0     *   0.0     = 0.0     ;  0.0     /0.699117=  0.0     
0.413537: 291: 0.591513; 0.0     *   0.0     = 0.0     ;  0.0     /0.413537=  0.0     
0.173991: 412: 0.420738; 0.608902* 250.754639=152.685043; 152.685043/0.173991=877.547412
0.048879: 543: 0.280929; 0.0     *   0.0     = 0.0     ;  0.0     /0.048879=  0.0     
0.008436: 685: 0.172598; 0.0     *   0.0     = 0.0     ;  0.0     /0.008436=  0.0     
0.000574: 857: 0.068070; 0.897754*  21.674672=19.458528; 19.458528/0.000574=33884.144773
