# Old comments in file ./phase1_ab_original/dpm_alphaBar_1-015-time_quadratic.txt
# order     : 1
# steps     : 15
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99831408  :    0.00925 :    8
# 0.99106145  :    0.02584 :   24
# 0.97020745  :    0.05076 :   49
# 0.92504120  :    0.08402 :   83
# 0.84484202  :    0.12561 :  124
# 0.72390133  :    0.17554 :  174
# 0.56756419  :    0.23380 :  232
# 0.39544675  :    0.30040 :  299
# 0.23678841  :    0.37534 :  374
# 0.11733688  :    0.45861 :  457
# 0.04613604  :    0.55022 :  549
# 0.01374107  :    0.65016 :  649
# 0.00294653  :    0.75844 :  757
# 0.00043045  :    0.87505 :  874
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 10436948554661334459
# order from param    : None
# order from file     : 1
# order final         : 1
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000999; loss:616.382438 = 612.146412 + 4.236027
# loss_var    : 1446.168540 => 612.146412
# model.lp    : 0.1
# model.out_ch: 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.998643:   6: 0.998643; 0.001357*1005.605181= 1.364257;  1.364257/0.998643=  1.366111
0.993606:  20: 0.994955; 0.001868* 648.375303= 1.211411;  1.211411/0.993606=  1.219207
0.983431:  35: 0.989760; 0.002417* 475.111117= 1.148554;  1.148554/0.983431=  1.167905
0.966641:  53: 0.982927; 0.003028* 370.023420= 1.120388;  1.120388/0.966641=  1.159053
0.941755:  72: 0.974256; 0.003728* 298.713414= 1.113748;  1.113748/0.941755=  1.182629
0.900611:  97: 0.956311; 0.006281* 238.556199= 1.498321;  1.498321/0.900611=  1.663671
0.796016: 145: 0.883862; 0.024105* 168.924060= 4.071903;  4.071903/0.796016=  5.115353
0.634120: 208: 0.796617; 0.040712* 117.685063= 4.791136;  4.791136/0.634120=  7.555566
0.443054: 280: 0.698692; 0.057928*  81.223632= 4.705105;  4.705105/0.443054= 10.619698
0.263820: 359: 0.595458; 0.079597*  53.814220= 4.283441;  4.283441/0.263820= 16.236198
0.130101: 446: 0.493144; 0.109001*  32.840482= 3.579654;  3.579654/0.130101= 27.514323
0.051755: 538: 0.397804; 0.148625*  17.370122= 2.581642;  2.581642/0.051755= 49.882158
0.016272: 636: 0.314413; 0.198745*   7.514137= 1.493396;  1.493396/0.016272= 91.774891
0.004004: 737: 0.246073; 0.256027*   2.454522= 0.628425;  0.628425/0.004004=156.941964
0.000751: 841: 0.187516; 0.322013*   0.556696= 0.179263;  0.179263/0.000751=238.747686
